Effective Date,Model,Package Description,List Price CAD,List Price USD,USD Source,Source File
2017-04-06,P20,Leica ScanStation P20 Standard Package,158580.0,122432.16,Extrapolated,2017-04-07 hds pricelist.xls
2017-04-06,P30,Leica ScanStation P30 Standard Package,131020.0,101154.38,Extrapolated,2017-04-07 hds pricelist.xls
2017-04-06,P40,Leica ScanStation P40 Standard Package,158590.0,122439.89,Extrapolated,2017-04-07 hds pricelist.xls
2017-05-10,P20,Leica ScanStation P20 Standard Package,158580.0,122432.16,Extrapolated,2017-05-10 hds pricelist.xls
2017-05-10,P30,Leica ScanStation P30 Standard Package,131020.0,101154.38,Extrapolated,2017-05-10 hds pricelist.xls
2017-05-10,P40,Leica ScanStation P40 Standard Package,158590.0,122439.89,Extrapolated,2017-05-10 hds pricelist.xls
2017-06-19,P20,Leica ScanStation P20 Standard Package,158580.0,122432.16,Extrapolated,2017-06-19 hds pricelist.xls
2017-06-19,P30,Leica ScanStation P30 Standard Package,131020.0,101154.38,Extrapolated,2017-06-19 hds pricelist.xls
2017-06-19,P40,Leica ScanStation P40 Standard Package,158590.0,122439.89,Extrapolated,2017-06-19 hds pricelist.xls
2017-10-26,BLK360,BLK360,22000.0,16985.17,Extrapolated,2017-10-26 HDS pricelist.xls
2017-10-26,P20,Leica ScanStation P20 Standard Package,158580.0,122432.16,Extrapolated,2017-10-26 HDS pricelist.xls
2017-10-26,P30,Leica ScanStation P30 Standard Package,131020.0,101154.38,Extrapolated,2017-10-26 HDS pricelist.xls
2017-10-26,P40,Leica ScanStation P40 Standard Package,158590.0,122439.89,Extrapolated,2017-10-26 HDS pricelist.xls
2018-03-08,BLK360,BLK360,24500.0,18915.3,Extrapolated,2018-03-08 HDS pricelist.xls
2018-03-08,P20,Leica ScanStation P20 Standard Package,158580.0,122432.16,Extrapolated,2018-03-08 HDS pricelist.xls
2018-03-08,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2018-03-08 HDS pricelist.xls
2018-03-08,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2018-03-08 HDS pricelist.xls
2018-03-08,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2018-03-08 HDS pricelist.xls
2018-06-14,BLK360,BLK360,24500.0,18915.3,Extrapolated,2018-06-14 HDS pricelist.xls
2018-06-14,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2018-06-14 HDS pricelist.xls
2018-06-14,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2018-06-14 HDS pricelist.xls
2018-06-14,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2018-06-14 HDS pricelist.xls
2018-09-04,BLK360,BLK360,24500.0,18915.3,Extrapolated,2018-09-04 HDS pricelist.xls
2018-09-04,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2018-09-04 HDS pricelist.xls
2018-09-04,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2018-09-04 HDS pricelist.xls
2018-09-04,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2018-09-04 HDS pricelist.xls
2018-10-03,BLK360,BLK360,24500.0,18915.3,Extrapolated,2018-10-03 HDS pricelist.xls
2018-10-03,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2018-10-03 HDS pricelist.xls
2018-10-03,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2018-10-03 HDS pricelist.xls
2018-10-03,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2018-10-03 HDS pricelist.xls
2019-01-08,BLK360,BLK360,24500.0,18915.3,Extrapolated,2019-01-09 HDS pricelist.xls
2019-01-08,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2019-01-09 HDS pricelist.xls
2019-01-08,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2019-01-09 HDS pricelist.xls
2019-01-08,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2019-01-09 HDS pricelist.xls
2019-03-01,BLK360,BLK360,24500.0,18915.3,Extrapolated,2019-03-01 HDS pricelist.xls
2019-03-01,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2019-03-01 HDS pricelist.xls
2019-03-01,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2019-03-01 HDS pricelist.xls
2019-03-01,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2019-03-01 HDS pricelist.xls
2019-05-29,BLK360,BLK360,24500.0,18915.3,Extrapolated,2019-05-29 HDS pricelist.xls
2019-05-29,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2019-05-29 HDS pricelist.xls
2019-05-29,P40,Leica ScanStation P40 Standard Package,130540.0,100783.8,Extrapolated,2019-05-29 HDS pricelist.xls
2019-05-29,P50,Leica ScanStation P50 Standard Package,160620.0,124007.15,Extrapolated,2019-05-29 HDS pricelist.xls
2019-06-24,BLK360,BLK360,24500.0,18915.3,Extrapolated,2019-06-24 HDS pricelist.xls
2019-06-24,P30,Leica ScanStation P30 Standard Package,100460.0,77560.44,Extrapolated,2019-06-24 HDS pricelist.xls
